10:14:20 Discord   Discord.Net v1.0.0-beta2-00491 (API v6)
10:14:21 Rest      GET users/@me: 1202.87 ms
10:14:21 Rest      GET voice/regions: 133.31 ms
10:14:22 Gateway   Connecting
10:14:22 Gateway   Connecting ApiClient
10:14:22 Rest      GET gateway: 97.59 ms
10:14:22 Gateway   Raising Event
10:14:22 Gateway   Identifying
10:14:22 Gateway   Sent Identify
10:14:23 Gateway   Received Hello
10:14:23 Discord   Heartbeat Started
10:14:23 Gateway   Sent Heartbeat
10:14:23 Gateway   Received Dispatch (READY)
10:14:23 Discord   GuildDownloader Started
10:14:23 Gateway   Ready
10:14:23 Gateway   Sending Status
10:14:23 Gateway   Sent StatusUpdate
10:14:23 Gateway   Raising Event
10:14:23 Gateway   Connected
10:14:23 Gateway   Received Dispatch (GUILD_AVAILABLE)
10:14:23 Gateway   Connected to C#
10:14:23 Gateway   Received HeartbeatAck
10:14:23 Gateway   Latency = 484 ms
10:14:24 Discord   GuildDownloader Stopped
10:14:24 Gateway   Sent StatusUpdate
10:14:26 Gateway   Received Dispatch (TYPING_START)
10:14:29 Gateway   Received Dispatch (MESSAGE_CREATE)
10:14:29 Rest      POST channels/251386218351165441/messages: 169.81 ms
10:14:29 Rest      POST channels/253967815671808001/messages: 149.05 ms
10:14:29 Gateway   Received Dispatch (MESSAGE_CREATE)
10:14:29 Gateway   Received Dispatch (MESSAGE_CREATE)
10:14:29 Gateway   Received Dispatch (MESSAGE_UPDATE)
10:14:35 Gateway   Received Dispatch (TYPING_START)
10:14:35 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:14:37 Gateway   Received Dispatch (TYPING_START)
10:14:39 Gateway   Received Dispatch (MESSAGE_CREATE)
10:14:39 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:14:40 Gateway   Received Dispatch (MESSAGE_CREATE)
10:14:43 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:14:43 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:14:44 Gateway   Received Dispatch (TYPING_START)
10:14:45 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:14:46 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:14:47 Gateway   Received Dispatch (MESSAGE_CREATE)
10:14:48 Gateway   Received Dispatch (TYPING_START)
10:14:48 Gateway   Received Dispatch (TYPING_START)
10:14:49 Gateway   Received Dispatch (TYPING_START)
10:14:50 Gateway   Received Dispatch (MESSAGE_CREATE)
10:14:52 Gateway   Received Dispatch (MESSAGE_CREATE)
10:14:53 Gateway   Received Dispatch (PRESENCE_UPDATE)
